y	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
2.37	1200	22	1	4	14.8	1	1.1	5.9	1.4	1.4
1.47	1342	28	8	4.4	18	1.5	1.5	6.4	1.7	1.7
1.13	1231	28	5	2.4	7.8	1.3	1.6	4.3	1.5	1.4
0.85	1254	28	18	3	9.2	2.3	1.7	6.9	2.3	1.6
0.24	1357	32	7	3.7	10.7	1.4	1.7	6.6	1.8	1.3
1.49	1250	27	1	4.4	14.8	1	1.7	5.8	1.3	1.4
0.3	1422	37	22	3	8.1	2.7	1.9	8.3	2.5	2
0.07	1309	46	7	5.7	19.6	1.5	1.3	7.8	1.8	1.6
3	1127	24	2	3.5	12.6	1	1.7	4.9	1.5	2
1.21	1075	34	9	4.3	12	1.6	1.8	6.8	2	2
0.38	1166	24	17	5.5	16.7	2.4	1.5	11.5	2.9	1.7
0.7	1182	41	32	5.4	21.6	3.3	1.4	11.3	2.8	2
2.64	1179	15	0	3.2	10.5	1	1.7	4	1.1	1.6
2.05	1256	21	0	5.1	19.5	1	1.8	5.8	1.1	1.4
1.75	1251	26	2	4.2	16.4	1.1	1.7	6.2	1.3	1.8
0.06	1536	28	31	5.7	17.8	3.1	1.7	11.4	2.8	1.9
0.13	1554	27	20	5.6	20.2	2.8	1.9	9.2	2.7	1.3
1	1305	30	6	3.8	15.7	1.4	1.2	7.2	2.1	1.9
0.41	1316	34	8	3.1	11.4	1.5	1.8	5	1.6	2
0.72	1427	39	19	4.6	15.2	2.4	1.6	9.1	2.4	1.9
0.67	1575	20	32	5.2	18.9	3	1.7	9.4	2.5	1.8
0.12	1397	26	16	4.2	14.8	2.2	1.6	7.7	2.2	1.8
0.97	1377	29	4	5.3	19.8	1.2	1.8	6.8	1.6	1.9
0.07	1574	24	23	5.2	17.8	2.4	1.8	7.8	2.2	2
0.1	1396	45	13	4.7	15.2	1.7	1.6	7.8	2.1	1.4
0.68	1393	27	5	4.7	18.3	1.2	1.7	7.5	1.7	2
0.13	1433	23	18	6.5	21	2.7	1.8	13.7	2.7	1.3
0.2	1349	24	1	2.7	5.8	1	1.7	3.6	1.3	1.8
1.09	1208	23	2	3.5	11.5	1.1	1.7	5.4	1.3	2
0.18	1198	28	15	3.9	11.3	2	1.6	7.4	2.8	2
0.35	1228	31	6	5.4	21.8	1.3	1.7	7	1.5	1.9
0.21	1229	21	11	5.8	16.7	1.7	1.8	10	2.3	2
0.03	1310	36	17	5.2	17.8	2.3	1.9	10.3	2.6	2
